,@Perfil,NumeroSeguidores,NumeroPostagens,url
0,head.energia,3647,311.0,https://www.instagram.com/head.energia/
1,2wenergia,13200,203.0,https://www.instagram.com/2wenergia/
2,vektorenergia,283,281.0,https://www.instagram.com/vektorenergia/
3,oliberal,340000,23408.0,https://www.instagram.com/oliberal/
4,apsapocossustentavel,365,358.0,https://www.instagram.com/apsapocossustentavel/
5,witzler.energia,978,381.0,https://www.instagram.com/witzler.energia/
6,meritoenergia,588,373.0,https://www.instagram.com/meritoenergia/
7,dovale_agente2w,265,78.0,https://www.instagram.com/dovale_agente2w/
8,wave2w,410,57.0,https://www.instagram.com/wave2w/
9,merxenergia,1360,74.0,https://www.instagram.com/merxenergia/
10,sergio.santos_2wenergia,922,240.0,https://www.instagram.com/sergio.santos_2wenergia/
11,pontoon.tech,562,166.0,https://www.instagram.com/pontoon.tech/
12,newcom.energia,717,155.0,https://www.instagram.com/newcom.energia/
13,comercenergia,6778,276.0,https://www.instagram.com/comercenergia/
14,eng_ambiental_uniaraguaia,4070,2571.0,https://www.instagram.com/eng_ambiental_uniaraguaia/
15,civil_uniaraguaia,1277,746.0,https://www.instagram.com/civil_uniaraguaia/
16,agrouniaraguaia,2173,1297.0,https://www.instagram.com/agrouniaraguaia/
17,grupo_engevoltt_engenharia,645,50.0,https://www.instagram.com/grupo_engevoltt_engenharia/
18,paeselimacomunicacao,312,154.0,https://www.instagram.com/paeselimacomunicacao/
19,emeweenergia,2546,1394.0,https://www.instagram.com/emeweenergia/
20,cavalcante_agente2w,48,26.0,https://www.instagram.com/cavalcante_agente2w/
21,vagnerpbarbosa,438,176.0,https://www.instagram.com/vagnerpbarbosa/
22,leadenergy1,1538,391.0,https://www.instagram.com/leadenergy1/
23,customenergia,32,33.0,https://www.instagram.com/customenergia/
24,vemsercomerc,1466,190.0,https://www.instagram.com/vemsercomerc/
25,institutototum,528,259.0,https://www.instagram.com/institutototum/
26,bestdealtechnologies,132,21.0,https://www.instagram.com/bestdealtechnologies/
27,trixenergia,186,288.0,https://www.instagram.com/trixenergia/
28,grupocontrolengenharia,4269,703.0,https://www.instagram.com/grupocontrolengenharia/
29,rbeenergia,768,69.0,https://www.instagram.com/rbeenergia/
30,grupoelectra,1267,665.0,https://www.instagram.com/grupoelectra/
31,tradener,1024,212.0,https://www.instagram.com/tradener/
32,perfilenergia,861,240.0,https://www.instagram.com/perfilenergia/
33,sion_energia,1439,144.0,https://www.instagram.com/sion_energia/
34,abrangesolucoestec,1258,129.0,https://www.instagram.com/abrangesolucoestec/
35,comercfuturo,294,37.0,https://www.instagram.com/comercfuturo/
